fecha,zona,vel_km_h,vel_m_s,vel_mph,vel_nudos,racha_max_km_h,racha_max_m_s,racha_max_mph,racha_max_nudos,hora_racha,fecha_actualizacion
2015-01-09,leon,11.88,3.3,26.5748,23.0929,28.08,7.8,62.8132,54.5832,16:20:00,"2022-01-21 17:44:31"
2015-01-09,zaragoza,11.88,3.3,26.5748,23.0929,41.04,11.4,91.8039,79.7754,15:30:00,"2022-01-21 17:44:31"
2015-01-10,acoruna,6.12,1.7,13.6901,11.8963,21.96,6.1,49.1231,42.6869,07:30:00,"2022-01-21 17:41:30"
2015-01-10,albacete,3.96,1.1,8.85827,7.69763,15.12,4.2,33.8225,29.391,12:10:00,"2022-01-21 17:44:31"
2015-01-10,almeria,6.12,1.7,13.6901,11.8963,28.08,7.8,62.8132,54.5832,14:30:00,"2022-01-21 17:44:31"
2015-01-10,leon,12.96,3.6,28.9907,25.1922,43.92,12.2,98.2462,85.3737,05:10:00,"2022-01-21 17:44:31"
2015-01-10,zaragoza,15.12,4.2,33.8225,29.391,51.12,14.2,114.352,99.3694,13:00:00,"2022-01-21 17:44:31"
2015-01-11,acoruna,10.08,2.8,22.5483,19.594,39.96,11.1,89.388,77.6761,15:20:00,"2022-01-21 17:41:30"
2015-01-11,albacete,12.96,3.6,28.9907,25.1922,39.96,11.1,89.388,77.6761,16:00:00,"2022-01-21 17:44:31"
2015-01-11,almeria,20.16,5.6,45.0966,39.1879,83.88,23.3,187.634,163.05,23:59:00,"2022-01-21 17:44:31"
2015-01-11,zaragoza,15.12,4.2,33.8225,29.391,51.12,14.2,114.352,99.3694,14:40:00,"2022-01-21 17:44:31"
2015-01-12,acoruna,14.04,3.9,31.4066,27.2916,30.96,8.6,69.2555,60.1815,07:10:00,"2022-01-21 17:41:30"
2015-01-12,albacete,6.84,1.9,15.3006,13.2959,18,5,40.2649,34.9892,07:00:00,"2022-01-21 17:44:31"
2015-01-12,almeria,5.04,1.4,11.2742,9.79698,21.96,6.1,49.1231,42.6869,12:30:00,"2022-01-21 17:44:31"
2015-01-12,zaragoza,2.16,0.6,4.83178,4.19871,11.16,3.1,24.9642,21.6933,19:00:00,"2022-01-21 17:44:31"
2015-01-13,acoruna,7.92,2.2,17.7165,15.3953,48.96,13.6,109.52,95.1707,03:30:00,"2022-01-21 17:41:30"
2015-01-13,albacete,2.88,0.8,6.44238,5.59828,24.12,6.7,53.9549,46.8856,23:10:00,"2022-01-21 17:41:30"
2015-01-13,almeria,2.88,0.8,6.44238,5.59828,16.92,4.7,37.849,32.8899,13:10:00,"2022-01-21 17:44:31"
2015-01-13,leon,21.96,6.1,49.1231,42.6869,56.88,15.8,127.237,110.566,13:20:00,"2022-01-21 17:44:31"
2015-01-13,zaragoza,3.96,1.1,8.85827,7.69763,15.84,4.4,35.4331,30.7905,17:00:00,"2022-01-21 17:44:31"
2015-01-14,acoruna,10.08,2.8,22.5483,19.594,54,15,120.795,104.968,23:20:00,"2022-01-21 17:41:30"
2015-01-14,albacete,6.12,1.7,13.6901,11.8963,21.96,6.1,49.1231,42.6869,05:50:00,"2022-01-21 17:41:30"
2015-01-14,almeria,7.92,2.2,17.7165,15.3953,30.96,8.6,69.2555,60.1815,13:00:00,"2022-01-21 17:44:31"
2015-01-14,leon,16.92,4.7,37.849,32.8899,63,17.5,140.927,122.462,20:20:00,"2022-01-21 17:44:31"
2015-01-14,zaragoza,11.16,3.1,24.9642,21.6933,33.12,9.2,74.0873,64.3802,14:20:00,"2022-01-21 17:44:31"
2015-01-15,albacete,10.08,2.8,22.5483,19.594,33.12,9.2,74.0873,64.3802,17:40:00,"2022-01-21 17:41:30"
2015-01-15,almeria,5.04,1.4,11.2742,9.79698,23.04,6.4,51.539,44.7862,16:00:00,"2022-01-21 17:44:31"
2015-01-15,leon,19.08,5.3,42.6807,37.0886,66.96,18.6,149.785,130.16,06:40:00,"2022-01-21 17:44:31"
2015-01-15,zaragoza,10.08,2.8,22.5483,19.594,51.12,14.2,114.352,99.3694,14:00:00,"2022-01-21 17:44:31"
2015-01-16,acoruna,1.08,0.3,2.41589,2.09935,20.88,5.8,46.7072,40.5875,06:30:00,"2022-01-21 17:41:30"
2015-01-16,albacete,16.92,4.7,37.849,32.8899,57.96,16.1,129.653,112.665,14:00:00,"2022-01-21 17:41:30"
2015-01-16,almeria,3.96,1.1,8.85827,7.69763,34.92,9.7,78.1138,67.8791,08:10:00,"2022-01-21 17:44:31"
2015-01-16,leon,0,0,0,0,81,22.5,181.192,157.452,07:55:00,"2022-01-21 17:44:31"
2015-01-16,zaragoza,19.08,5.3,42.6807,37.0886,78.12,21.7,174.749,151.853,04:40:00,"2022-01-21 17:44:31"
2015-01-17,acoruna,10.08,2.8,22.5483,19.594,34.92,9.7,78.1138,67.8791,18:30:00,"2022-01-21 17:41:30"
2015-01-17,albacete,16.92,4.7,37.849,32.8899,51.12,14.2,114.352,99.3694,13:10:00,"2022-01-21 17:41:30"
